UPI Remitter Banks,Year,Month,Total Volume (In Mn),Approved %,BD %	,	TD%,Total Debit Reversal Count (In Mn),Debit Reversal Success %
State Bank of India,2022,9,1865.75,90.39%,6.77%,2.84%,11.29,84.70%
HDFC Bank,2022,9,610.12,94.46%,5.41%,0.13%,2.39,98.02%
Bank of Baroda,2022,9,450.27,92.95%,6.80%,0.24%,1.69,97.38%
Union Bank of India,2022,9,420.12,90.65%,7.79%,1.56%,1.95,63.86%
ICICI Bank,2022,9,370.12,94.07%,4.86%,1.06%,1.35,82.90%
Axis Bank,2022,9,344.25,95.55%,4.36%,0.09%,1.07,85.73%
Paytm Payments Bank,2022,9,340.75,95.83%,4.13%,0.04%,0.78,96.59%
Punjab National Bank,2022,9,318.28,91.99%,5.65%,2.35%,2.77,77.72%
Canara Bank,2022,9,305.88,90.83%,7.01%,2.16%,2.2,81.45%
Kotak Mahindra Bank,2022,9,300.14,93.56%,5.65%,0.79%,1.2,93.25%
Bank of India,2022,9,236.49,94.42%,4.71%,0.87%,0.98,75.37%
Indian Bank,2022,9,175.26,91.75%,5.94%,2.31%,1.06,72.57%
Airtel Payments Bank,2022,9,131.86,78.70%,18.19%,3.11%,0.69,65.62%
India Post Payment Bank,2022,9,119.05,65.85%,25.08%,9.07%,0.6,44.49%
Central Bank of India,2022,9,114.42,85.79%,9.92%,4.29%,0.85,37.93%
Federal Bank,2022,9,111.27,94.17%,5.54%,0.29%,0.44,91.32%
YES Bank,2022,9,99.75,90.60%,9.12%,0.28%,0.0,0.00%
IDBI Bank,2022,9,91.74,94.52%,4.12%,1.36%,0.51,82.09%
Indian Overseas Bank,2022,9,88.59,93.81%,5.36%,0.83%,0.47,94.43%
Bank of Maharashtra,2022,9,83.51,89.86%,6.31%,3.83%,0.52,61.31%
UCO Bank,2022,9,79.57,90.40%,6.21%,3.39%,0.54,47.69%
IndusInd Bank,2022,9,61.95,92.65%,6.92%,0.43%,0.27,84.22%
Karnataka Bank,2022,9,60.11,86.87%,7.17%,5.96%,0.22,24.61%
IDFC First Bank,2022,9,50.04,90.32%,5.89%,3.78%,0.16,36.19%
Fino Payments Bank,2022,9,49.9,77.01%,15.14%,7.85%,0.81,72.43%
Karur Vysya Bank,2022,9,38.75,91.71%,7.47%,0.82%,0.19,87.45%
Bandhan Bank,2022,9,32.04,76.81%,19.57%,3.63%,0.35,88.01%
South Indian Bank,2022,9,28.73,93.47%,6.40%,0.13%,0.08,89.45%
Equitas Bank,2022,9,22.35,77.94%,13.56%,8.50%,0.18,52.40%
City Union Bank,2022,9,21.09,92.20%,6.77%,1.03%,0.08,95.35%
Ujjivan Small Finance Bank,2022,9,18.79,86.62%,7.05%,6.33%,0.1,46.98%
AU Small Finance Bank,2022,9,18.54,91.06%,6.29%,2.66%,0.0,0.07%
Punjab and Sind Bank,2022,9,18.02,88.30%,10.84%,0.86%,0.1,73.20%
Jammu and Kashmir Bank,2022,9,17.61,89.86%,7.12%,3.02%,0.11,73.74%
CITI Bank,2022,9,17.22,95.43%,4.03%,0.54%,0.05,89.64%
Tamilnad Mercantile Bank,2022,9,17.19,92.41%,7.45%,0.14%,0.04,77.82%
Standard Chartered,2022,9,16.99,96.09%,2.82%,1.09%,0.07,84.82%
DBS Bank,2022,9,16.59,94.33%,4.72%,0.96%,0.07,93.51%
Maharashtra Gramin Bank,2022,9,16.48,58.81%,22.10%,19.09%,0.04,6.69%
Andhra Pradesh Grameena Vikas Bank,2022,9,15.32,66.53%,19.54%,13.93%,0.07,10.73%
Pragathi Krishna Gramin Bank,2022,9,15.28,83.90%,12.18%,3.92%,0.13,72.67%
Saraswat Bank,2022,9,13.3,95.98%,3.71%,0.31%,0.04,92.15%
ESAF Small Finance Bank Ltd,2022,9,11.74,73.49%,25.05%,1.46%,0.06,86.86%
Rajasthan Marudhara Gramin Bank,2022,9,11.61,75.00%,11.50%,13.50%,0.04,8.06%
Kerala Gramin Bank,2022,9,10.72,86.06%,11.28%,2.66%,0.05,60.99%
Sarva Haryana Gramin Bank,2022,9,10.24,70.80%,21.62%,7.58%,0.09,74.70%
Andhra Pragathi Grameena Bank,2022,9,9.35,75.51%,15.02%,9.47%,0.25,84.78%
RBL,2022,9,9.0,89.83%,8.40%,1.77%,0.06,80.10%
Baroda U.P. Bank,2022,9,7.74,72.18%,10.69%,17.13%,0.06,46.25%
Baroda Rajasthan Kshetriya Gramin Bank,2022,9,7.27,87.24%,9.01%,3.74%,0.04,56.52%
State Bank of India,2023,9,2730.35,95.55%,4.19%,0.26%,9.45,96.00%
HDFC Bank,2023,9,912.87,95.78%,3.66%,0.56%,3.55,81.00%
Bank of Baroda,2023,9,681.1,94.47%,5.18%,0.35%,2.13,92.00%
Union Bank of India,2023,9,657.95,94.38%,4.46%,1.16%,3.26,59.00%
Punjab National Bank,2023,9,526.67,95.01%,4.75%,0.24%,1.83,95.00%
Kotak Mahindra Bank,2023,9,501.84,94.49%,5.18%,0.33%,1.17,91.00%
ICICI Bank,2023,9,484.28,96.33%,3.27%,0.40%,1.43,80.00%
Canara Bank,2023,9,486.91,94.38%,5.24%,0.38%,1.74,81.00%
Axis Bank,2023,9,486.35,96.27%,3.58%,0.15%,1.1,90.00%
Paytm Payments Bank,2023,9,426.45,96.30%,3.67%,0.03%,0.57,94.00%
Bank of India,2023,9,340.89,95.80%,3.95%,0.25%,1.06,81.00%
Indian Bank,2023,9,294.13,91.03%,4.47%,4.50%,3.3,65.00%
Airtel Payments Bank,2023,9,258.59,91.11%,8.69%,0.20%,0.8,0.00%
India Post Payment Bank,2023,9,203.54,82.83%,14.35%,2.82%,0.92,72.00%
Federal Bank,2023,9,162.0,95.55%,4.41%,0.04%,0.34,97.00%
Central Bank of India,2023,9,159.29,88.16%,8.99%,2.85%,2.1,68.00%
Indian Overseas Bank,2023,9,138.04,93.73%,4.48%,1.79%,0.69,81.00%
UCO Bank,2023,9,135.33,90.15%,5.19%,4.65%,2.02,46.00%
IDBI Bank,2023,9,123.74,95.55%,3.73%,0.71%,0.6,87.00%
Bank of Maharashtra,2023,9,114.21,93.20%,4.99%,1.81%,0.6,59.00%
IndusInd Bank,2023,9,103.02,92.10%,6.11%,1.79%,0.53,64.00%
Fino Payments Bank,2023,9,96.47,84.96%,13.10%,1.94%,0.39,68.00%
YES Bank,2023,9,86.02,95.48%,4.30%,0.22%,0.16,91.00%
Karnataka Bank,2023,9,83.65,93.99%,5.47%,0.54%,0.17,91.00%
IDFC First Bank,2023,9,63.89,94.98%,4.84%,0.18%,0.21,72.00%
Karur Vysya Bank,2023,9,52.38,93.73%,5.94%,0.33%,0.17,94.00%
Bandhan Bank,2023,9,43.57,94.86%,4.72%,0.42%,0.21,70.00%
South Indian Bank,2023,9,43.14,95.22%,4.17%,0.62%,0.17,84.00%
Jammu and Kashmir Bank,2023,9,37.82,91.00%,5.72%,3.28%,0.42,2.00%
City Union Bank,2023,9,31.47,93.35%,6.24%,0.41%,0.1,92.00%
Ujjivan Small Finance Bank,2023,9,31.2,93.70%,5.70%,0.60%,0.1,77.00%
AU Small Finance Bank,2023,9,30.84,95.20%,4.54%,0.25%,0.11,91.00%
Tamilnad Mercantile Bank,2023,9,27.64,93.01%,5.04%,1.95%,0.12,51.00%
Punjab and Sind Bank,2023,9,27.65,91.97%,7.62%,0.41%,0.13,89.00%
Equitas Bank,2023,9,25.82,91.63%,8.28%,0.09%,0.07,98.00%
Standard Chartered,2023,9,23.69,95.03%,2.64%,2.33%,0.15,59.00%
DBS Bank,2023,9,23.25,95.86%,4.02%,0.12%,0.05,81.00%
Tri O Tech Solutions Private Limited,2023,9,22.88,100.00%,0.00%,0.00%,0.0,
Andhra Pradesh Grameena Vikas Bank,2023,9,21.39,86.26%,11.63%,2.11%,0.13,42.00%
Kerala Gramin Bank,2023,9,20.53,90.84%,8.06%,1.10%,0.1,61.00%
Pragathi Krishna Gramin Bank,2023,9,19.97,90.54%,7.96%,1.50%,0.15,39%
Maharashtra Gramin Bank,2023,9,19.6,83.93%,12.09%,3.98%,0.08,54.00%
CITI Bank,2023,9,18.87,96.48%,3.09%,0.43%,0.06,97.00%
Saraswat Bank,2023,9,18.79,96.71%,3.06%,0.23%,0.05,90.00%
Rajasthan Marudhara Gramin Bank,2023,9,16.66,86.17%,11.82%,2.01%,0.08,56%
ESAF Small Finance Bank Ltd,2023,9,16.56,93.67%,5.28%,1.05%,0.06,68.00%
Baroda U.P. Bank,2023,9,16.05,75.61%,11.53%,12.86%,0.53,22.00%
Fincare Small Finance Bank,2023,9,13.91,85.87%,11.79%,2.34%,0.11,51.00%
RBL,2023,9,13.31,88.49%,6.83%,4.68%,0.17,50.00%
Sarva Haryana Gramin Bank,2023,9,13.27,92.84%,6.80%,0.36%,0.04,95.00%
State Bank of India,2024,9,4067.05,93.90%,5.35%,0.75%,15.24,95.22%
HDFC Bank,2024,9,1267.31,95.36%,4.62%,0.02%,3.28,99.66%
Bank of Baroda,2024,9,996.46,92.87%,7.01%,0.11%,2.75,98.59%
Union Bank of India,2024,9,928.3,93.16%,6.36%,0.47%,4.67,53.00%
Punjab National Bank,2024,9,851.0,92.20%,7.69%,0.11%,2.7,95.21%
Kotak Mahindra Bank,2024,9,771.17,91.78%,7.55%,0.68%,2.13,86.79%
Axis Bank,2024,9,739.08,95.40%,4.54%,0.05%,1.7,99.18%
Canara Bank,2024,9,724.35,93.23%,6.32%,0.44%,2.5,91.72%
ICICI Bank,2024,9,642.3,96.31%,3.67%,0.02%,1.43,97.81%
Bank of India,2024,9,480.33,93.98%,5.57%,0.45%,2.04,72.57%
Indian Bank,2024,9,466.01,94.03%,5.87%,0.11%,1.44,89.97%
Airtel Payments Bank,2024,9,449.25,89.91%,9.82%,0.27%,1.74,97.12%
India Post Payment Bank,2024,9,370.25,87.95%,11.48%,0.58%,1.3,93.30%
Indian Overseas Bank,2024,9,221.41,91.62%,5.67%,2.71%,2.53,83.77%
Federal Bank,2024,9,220.03,94.15%,5.81%,0.04%,0.58,99.00%
Central Bank of India,2024,9,219.42,87.43%,11.13%,1.45%,1.27,84.32%
UCO Bank,2024,9,202.25,91.83%,7.48%,0.70%,0.81,74.19%
IDBI Bank,2024,9,167.82,93.46%,5.98%,0.55%,0.75,80.34%
IndusInd Bank,2024,9,165.88,91.52%,8.37%,0.11%,0.66,93.54%
Bank of Maharashtra,2024,9,165.0,93.33%,6.37%,0.30%,0.6,72.66%
Fino Payments Bank,2024,9,154.66,92.79%,7.09%,0.12%,0.62,90.32%
YES Bank,2024,9,131.04,94.14%,5.69%,0.16%,0.33,73.57%
Karnataka Bank,2024,9,117.35,93.35%,6.47%,0.18%,0.35,89.55%
IDFC First Bank,2024,9,89.72,93.65%,6.14%,0.22%,0.4,60.52%
Karur Vysya Bank,2024,9,73.53,92.19%,6.56%,1.25%,0.37,81.06%
AU Small Finance Bank,2024,9,69.23,91.09%,8.74%,0.17%,0.18,90.37%
The Jammu And Kashmir Bank,2024,9,69.03,92.85%,5.24%,1.90%,0.76,28.28%
Bandhan Bank,2024,9,68.05,92.88%,5.45%,1.67%,0.4,76.70%
Tri O Tech Solutions Private Limited,2024,9,61.0,100.00%,0.00%,0.00%,,
The South Indian Bank Limited,2024,9,60.27,95.12%,4.80%,0.09%,0.15,99.29%
Ujjivan Small Finance Bank,2024,9,45.35,94.46%,5.22%,0.32%,0.15,92.62%
City Union Bank,2024,9,44.3,92.88%,6.54%,0.58%,0.16,90.24%
Punjab and Sind Bank,2024,9,43.54,91.88%,7.47%,0.65%,0.24,77.00%
Tamilnad Mercantile Bank,2024,9,41.41,92.63%,7.01%,0.36%,0.14,78.15%
Kerala Gramin Bank,2024,9,35.02,91.51%,6.35%,2.15%,0.31,80.81%
Equitas Bank,2024,9,32.2,92.96%,6.98%,0.06%,0.11,95.27%
Andhra Pradesh Grameena Vikas Bank,2024,9,29.88,86.57%,12.21%,1.23%,0.13,63.57%
Pragathi Krishna Gramin Bank,2024,9,28.74,88.68%,7.74%,3.57%,0.42,70%
DBS Bank,2024,9,27.93,93.71%,6.27%,0.02%,0.08,98.09%
Baroda U.P. Bank,2024,9,26.48,92.16%,7.56%,0.28%,0.1,91.42%
Maharashtra Gramin Bank,2024,9,25.95,86.61%,12.16%,1.23%,0.1,76%
Rajasthan Marudhara Gramin Bank,2024,9,25.85,86.65%,10.52%,2.83%,0.16,65.99%
ESAF Small Finance Bank Ltd,2024,9,25.76,95.46%,4.43%,0.11%,0.09,94.77%
Standard Chartered,2024,9,25.65,96.49%,2.95%,0.56%,0.14,52%
Saraswat Bank,2024,9,24.88,94.11%,5.24%,0.66%,0.1,65%
Jio Payments Bank,2024,9,22.56,88.72%,10.15%,1.13%,0.23,96.15%
NSDL Payments Bank,2024,9,20.08,83.05%,11.47%,5.49%,0.38,9.08%
Sarva Haryana Gramin Bank,2024,9,19.79,89.36%,6.17%,4.47%,0.32,28.04%
Andhra Pragathi Grameena Bank,2024,9,18.96,83.63%,11.69%,4.68%,0.27,27.01%
RBL,2024,9,18.87,91.45%,8.10%,0.44%,0.08,67.16%
